Date_Start,Date_End,Time,Title,Subtitle,Venue,Categories,Price,Link,Source,detail_file,age_group
04.10.2025,21.06.2026,04.10 - 21.06,MHP RIESEN Ludwigsburg Saison 2025/26,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523251502453/MHPRIESENLudwigsburgSaison202526.html&nodeID=523251502453,visit.ludwigsburg.de,detail_0001.txt,
28.02.2026,30.04.2026,–,Dauerkartenvorverkauf Blühendes Barock Saison 2026,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253574405/DauerkartenvorverkaufBlhendesBarockSaison2026.html&nodeID=523253574405,visit.ludwigsburg.de,detail_0002.txt,
20.03.2026,14.06.2026,20.03 - 14.06,Märchenhafter Blütenzauber,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253574407/MrchenhafterBltenzauber.html&nodeID=523253574407,visit.ludwigsburg.de,detail_0003.txt,
04.04.2026,31.08.2026,04.04,Ninja-Parcours X Kunsteisbahn,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523245070956/NinjaParcoursXKunsteisbahn.html&nodeID=523245070956,visit.ludwigsburg.de,detail_0004.txt,Ab 6 Jahren
22.04.2026,–,22.04 - 17.00,LeseWerkstatt für Frauen und Mädchen,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253615235/LeseWerkstattfrFrauenundMdchen.html&nodeID=523253615235,visit.ludwigsburg.de,detail_0005.txt,Für Erwachsene
22.04.2026,–,22.04,Sprechtreff Deutsch,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523251504837/SprechtreffDeutsch.html&nodeID=523251504837,visit.ludwigsburg.de,detail_0006.txt,
23.04.2026,–,23.04 - 9.45,Zwergeninsel in Schlösslesfeld,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252489455/ZwergeninselinSchlsslesfeld.html&nodeID=523252489455,visit.ludwigsburg.de,detail_0007.txt,Kinder (allgemein)
24.04.2026,25.04.2026,–,Future Factory 2026,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253563706/FutureFactory2026.html&nodeID=523253563706,visit.ludwigsburg.de,detail_0008.txt,
24.04.2026,–,15.30,Genussführung: Oh là là! Auf Frankreichs Spuren durch Ludwigsburg,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252882181/GenussfhrungOhllAufFrankreichsSpurendurchLudwigsburg.html&nodeID=523252882181,visit.ludwigsburg.de,detail_0009.txt,Kinder (allgemein)
24.04.2026,–,–,Internationale Geschichteninsel auf Französisch,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252468118/InternationaleGeschichteninselaufFranzsisch.html&nodeID=523252468118,visit.ludwigsburg.de,detail_0010.txt,Ab 4 Jahren
24.04.2026,25.04.2026,–,TaKeTiNa® - Rhythmus als Erfahrungsraum,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253884116/TaKeTiNaRhythmusalsErfahrungsraum.html&nodeID=523253884116,visit.ludwigsburg.de,detail_0011.txt,
24.04.2026,–,20:00,Cornamusa - World of Pipe Rock and Irish Dance,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523251601721/CornamusaWorldofPipeRockandIrishDance.html&nodeID=523251601721,visit.ludwigsburg.de,detail_0012.txt,
24.04.2026,–,20:00 - 21:30,Eiskalter GeisterAtem - das Echo verlorener Seelen,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252083755/EiskalterGeisterAtemdasEchoverlorenerSeelen.html&nodeID=523252083755,visit.ludwigsburg.de,detail_0013.txt,
24.04.2026,–,20:30,FOUR Again,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523251887215/FOURAgain.html&nodeID=523251887215,visit.ludwigsburg.de,detail_0014.txt,
25.04.2026,–,11:00 - 14:30,Gaga/People Classes,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253884117/GagaPeopleClasses.html&nodeID=523253884117,visit.ludwigsburg.de,detail_0015.txt,
25.04.2026,–,14.00,Geschichtsführung: Ludwigsburg auf einen Blick,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252058669/GeschichtsfhrungLudwigsburgaufeinenBlick.html&nodeID=523252058669,visit.ludwigsburg.de,detail_0016.txt,Kinder (allgemein)
25.04.2026,–,18:30,MHP RIESEN Ludwigsburg vs. ROSTOCK SEAWOLVES,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253956705/MHPRIESENLudwigsburgvsROSTOCKSEAWOLVES.html&nodeID=523253956705,visit.ludwigsburg.de,detail_0017.txt,
26.04.2026,–,10:30 - 12:30,"""Sevillanas"" I - 1. bis 2. Strophe",,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253884118/SevillanasI1bis2Strophe.html&nodeID=523253884118,visit.ludwigsburg.de,detail_0018.txt,Kinder und Erwachsene
26.04.2026,–,13:00 - 15:00,"""Sevillanas"" mit Fächer I",,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253884119/SevillanasmitFcherI.html&nodeID=523253884119,visit.ludwigsburg.de,detail_0019.txt,
26.04.2026,–,14:00 - 17:00,Dance & France,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523253884120/DanceFrance.html&nodeID=523253884120,visit.ludwigsburg.de,detail_0020.txt,
26.04.2026,–,14.00,Naturführung: Die Zugwiesen,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252157254/NaturfhrungDieZugwiesen.html&nodeID=523252157254,visit.ludwigsburg.de,detail_0021.txt,Kinder (allgemein)
26.04.2026,–,15.00,Die kleine Hexe,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523246053687/DiekleineHexe.html&nodeID=523246053687,visit.ludwigsburg.de,detail_0022.txt,Ab 6 Jahren
26.04.2026,–,15.00,Kinder- und Familienführung: Zeitreise mit Kindermädchen Gina,,,,,https://visit.ludwigsburg.de/site/Ludwigsburg-Tourismus/node/17879588/zmdetail_523252882176/KinderundFamilienfhrungZeitreisemitKindermdchenGina.html&nodeID=523252882176,visit.ludwigsburg.de,detail_0023.txt,Kinder (allgemein)
